54623	PAF1	PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]	ZSCAN5DP_TARGET_GENES	BARX2_TARGET_GENES		ASH1L_TARGET_GENES				IRF5_TARGET_GENES			ZSCAN2_TARGET_GENES			CEBPZ_TARGET_GENES			MYOCD_TARGET_GENES			
26024	PTCD1	pentatricopeptide repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:22198]	ZSCAN5DP_TARGET_GENES	BARX2_TARGET_GENES			ATF6_TARGET_GENES							KLF7_TARGET_GENES		CEBPZ_TARGET_GENES				HOXA1_TARGET_GENES		
805	CALM2	calmodulin 2 [Source:HGNC Symbol;Acc:HGNC:1445]	ZSCAN5DP_TARGET_GENES		BARHL1_TARGET_GENES		ATF6_TARGET_GENES							KLF7_TARGET_GENES	ZNF549_TARGET_GENES		RYBP_TARGET_GENES					
10566	AKAP3	A-kinase anchoring protein 3 [Source:HGNC Symbol;Acc:HGNC:373]	ZSCAN5DP_TARGET_GENES		BARHL1_TARGET_GENES					IRF5_TARGET_GENES	SETD1A_TARGET_GENES											
9759	HDAC4	histone deacetylase 4 [Source:HGNC Symbol;Acc:HGNC:14063]	ZSCAN5DP_TARGET_GENES			ASH1L_TARGET_GENES			NFE2L1_TARGET_GENES						ZNF549_TARGET_GENES	CEBPZ_TARGET_GENES					ZNF711_TARGET_GENES	
10919	EHMT2	euchromatic histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14129]	ZSCAN5DP_TARGET_GENES				ATF6_TARGET_GENES	AEBP2_TARGET_GENES				ZFP91_TARGET_GENES										
401320	GARS1-DT	GARS1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:48951]	ZSCAN5DP_TARGET_GENES					AEBP2_TARGET_GENES					ZSCAN2_TARGET_GENES				RYBP_TARGET_GENES	RAG1_TARGET_GENES				
23450	SF3B3	splicing factor 3b subunit 3 [Source:HGNC Symbol;Acc:HGNC:10770]	ZSCAN5DP_TARGET_GENES						NFE2L1_TARGET_GENES	IRF5_TARGET_GENES	SETD1A_TARGET_GENES		ZSCAN2_TARGET_GENES								ZNF711_TARGET_GENES	NCOA2_TARGET_GENES
25839	COG4	component of oligomeric golgi complex 4 [Source:HGNC Symbol;Acc:HGNC:18620]	ZSCAN5DP_TARGET_GENES						NFE2L1_TARGET_GENES	IRF5_TARGET_GENES	SETD1A_TARGET_GENES		ZSCAN2_TARGET_GENES								ZNF711_TARGET_GENES	NCOA2_TARGET_GENES
7389	UROD	uroporphyrinogen decarboxylase [Source:HGNC Symbol;Acc:HGNC:12591]	ZSCAN5DP_TARGET_GENES						NFE2L1_TARGET_GENES	IRF5_TARGET_GENES			ZSCAN2_TARGET_GENES									
79654	HECTD3	HECT domain E3 ubiquitin protein ligase 3 [Source:HGNC Symbol;Acc:HGNC:26117]	ZSCAN5DP_TARGET_GENES						NFE2L1_TARGET_GENES	IRF5_TARGET_GENES			ZSCAN2_TARGET_GENES									
55367	PIDD1	p53-induced death domain protein 1 [Source:HGNC Symbol;Acc:HGNC:16491]	ZSCAN5DP_TARGET_GENES								SETD1A_TARGET_GENES			KLF7_TARGET_GENES					MYOCD_TARGET_GENES		ZNF711_TARGET_GENES	
9911	TMCC2	transmembrane and coiled-coil domain family 2 [Source:HGNC Symbol;Acc:HGNC:24239]	ZSCAN5DP_TARGET_GENES								SETD1A_TARGET_GENES						RYBP_TARGET_GENES					
4704	NDUFA9	NADH:ubiquinone oxidoreductase subunit A9 [Source:HGNC Symbol;Acc:HGNC:7693]	ZSCAN5DP_TARGET_GENES								SETD1A_TARGET_GENES											
717	C2	complement C2 [Source:HGNC Symbol;Acc:HGNC:1248]	ZSCAN5DP_TARGET_GENES									ZFP91_TARGET_GENES							MYOCD_TARGET_GENES			
51278	IER5	immediate early response 5 [Source:HGNC Symbol;Acc:HGNC:5393]	ZSCAN5DP_TARGET_GENES									ZFP91_TARGET_GENES										
2617	GARS1	glycyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:4162]	ZSCAN5DP_TARGET_GENES										ZSCAN2_TARGET_GENES				RYBP_TARGET_GENES	RAG1_TARGET_GENES				
100526740	ATP5MF-PTCD1	ATP5MF-PTCD1 readthrough [Source:HGNC Symbol;Acc:HGNC:38844]	ZSCAN5DP_TARGET_GENES											KLF7_TARGET_GENES								
9551	ATP5MF	ATP synthase membrane subunit f [Source:HGNC Symbol;Acc:HGNC:848]	ZSCAN5DP_TARGET_GENES											KLF7_TARGET_GENES								
79791	FBXO31	F-box protein 31 [Source:HGNC Symbol;Acc:HGNC:16510]	ZSCAN5DP_TARGET_GENES												ZNF549_TARGET_GENES		RYBP_TARGET_GENES		MYOCD_TARGET_GENES		ZNF711_TARGET_GENES	
81631	MAP1LC3B	microtubule associated protein 1 light chain 3 beta [Source:HGNC Symbol;Acc:HGNC:13352]	ZSCAN5DP_TARGET_GENES												ZNF549_TARGET_GENES		RYBP_TARGET_GENES		MYOCD_TARGET_GENES			
441094	NR2F1-AS1	NR2F1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48622]	ZSCAN5DP_TARGET_GENES														RYBP_TARGET_GENES					
133015	PACRGL	parkin coregulated like [Source:HGNC Symbol;Acc:HGNC:28442]	ZSCAN5DP_TARGET_GENES																	HOXA1_TARGET_GENES		
55229	PANK4	pantothenate kinase 4 (inactive) [Source:HGNC Symbol;Acc:HGNC:19366]	ZSCAN5DP_TARGET_GENES																		ZNF711_TARGET_GENES	
85451	UNK	unk zinc finger [Source:HGNC Symbol;Acc:HGNC:29369]	ZSCAN5DP_TARGET_GENES																			
672	BRCA1	BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]		BARX2_TARGET_GENES	BARHL1_TARGET_GENES	ASH1L_TARGET_GENES	ATF6_TARGET_GENES									CEBPZ_TARGET_GENES	RYBP_TARGET_GENES					
7165	TPD52L2	TPD52 like 2 [Source:HGNC Symbol;Acc:HGNC:12007]		BARX2_TARGET_GENES	BARHL1_TARGET_GENES	ASH1L_TARGET_GENES																
1606	DGKA	diacylglycerol kinase alpha [Source:HGNC Symbol;Acc:HGNC:2849]		BARX2_TARGET_GENES	BARHL1_TARGET_GENES		ATF6_TARGET_GENES	AEBP2_TARGET_GENES	NFE2L1_TARGET_GENES		SETD1A_TARGET_GENES	ZFP91_TARGET_GENES						RAG1_TARGET_GENES				
84986	ARHGAP19	Rho GTPase activating protein 19 [Source:HGNC Symbol;Acc:HGNC:23724]		BARX2_TARGET_GENES		ASH1L_TARGET_GENES	ATF6_TARGET_GENES	AEBP2_TARGET_GENES	NFE2L1_TARGET_GENES		SETD1A_TARGET_GENES					CEBPZ_TARGET_GENES					ZNF711_TARGET_GENES	
100533184	ARHGAP19-SLIT1	ARHGAP19-SLIT1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:48348]		BARX2_TARGET_GENES		ASH1L_TARGET_GENES	ATF6_TARGET_GENES	AEBP2_TARGET_GENES	NFE2L1_TARGET_GENES		SETD1A_TARGET_GENES					CEBPZ_TARGET_GENES					ZNF711_TARGET_GENES	
54934	KANSL2	KAT8 regulatory NSL complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:26024]		BARX2_TARGET_GENES		ASH1L_TARGET_GENES	ATF6_TARGET_GENES		NFE2L1_TARGET_GENES							CEBPZ_TARGET_GENES		RAG1_TARGET_GENES			ZNF711_TARGET_GENES	
57459	GATAD2B	GATA zinc finger domain containing 2B [Source:HGNC Symbol;Acc:HGNC:30778]		BARX2_TARGET_GENES		ASH1L_TARGET_GENES		AEBP2_TARGET_GENES		IRF5_TARGET_GENES				KLF7_TARGET_GENES		CEBPZ_TARGET_GENES						
2932	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]		BARX2_TARGET_GENES		ASH1L_TARGET_GENES		AEBP2_TARGET_GENES		IRF5_TARGET_GENES								RAG1_TARGET_GENES		HOXA1_TARGET_GENES		
79065	ATG9A	autophagy related 9A [Source:HGNC Symbol;Acc:HGNC:22408]		BARX2_TARGET_GENES		ASH1L_TARGET_GENES		AEBP2_TARGET_GENES			SETD1A_TARGET_GENES					CEBPZ_TARGET_GENES						
55139	ANKZF1	ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:25527]		BARX2_TARGET_GENES		ASH1L_TARGET_GENES		AEBP2_TARGET_GENES			SETD1A_TARGET_GENES					CEBPZ_TARGET_GENES						
4901	NRL	neural retina leucine zipper [Source:HGNC Symbol;Acc:HGNC:8002]		BARX2_TARGET_GENES		ASH1L_TARGET_GENES		AEBP2_TARGET_GENES				ZFP91_TARGET_GENES				CEBPZ_TARGET_GENES	RYBP_TARGET_GENES		MYOCD_TARGET_GENES			
51430	SUCO	SUN domain containing ossification factor [Source:HGNC Symbol;Acc:HGNC:1240]		BARX2_TARGET_GENES		ASH1L_TARGET_GENES		AEBP2_TARGET_GENES							ZNF549_TARGET_GENES		RYBP_TARGET_GENES					
27346	TMEM97	transmembrane protein 97 [Source:HGNC Symbol;Acc:HGNC:28106]		BARX2_TARGET_GENES		ASH1L_TARGET_GENES													MYOCD_TARGET_GENES			
157570	ESCO2	establishment of sister chromatid cohesion N-acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:27230]		BARX2_TARGET_GENES		ASH1L_TARGET_GENES																
84305	PYM1	PYM homolog 1, exon junction complex associated factor [Source:HGNC Symbol;Acc:HGNC:30258]		BARX2_TARGET_GENES			ATF6_TARGET_GENES		NFE2L1_TARGET_GENES		SETD1A_TARGET_GENES	ZFP91_TARGET_GENES										
10352	WARS2	tryptophanyl tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12730]		BARX2_TARGET_GENES			ATF6_TARGET_GENES		NFE2L1_TARGET_GENES		SETD1A_TARGET_GENES									HOXA1_TARGET_GENES		
10733	PLK4	polo like kinase 4 [Source:HGNC Symbol;Acc:HGNC:11397]		BARX2_TARGET_GENES			ATF6_TARGET_GENES															
51434	ANAPC7	anaphase promoting complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:17380]		BARX2_TARGET_GENES				AEBP2_TARGET_GENES	NFE2L1_TARGET_GENES	IRF5_TARGET_GENES	SETD1A_TARGET_GENES	ZFP91_TARGET_GENES	ZSCAN2_TARGET_GENES									
51649	MRPS23	mitochondrial ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:14509]		BARX2_TARGET_GENES							SETD1A_TARGET_GENES				ZNF549_TARGET_GENES	CEBPZ_TARGET_GENES			MYOCD_TARGET_GENES			
3018	H2BC3	H2B clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4751]		BARX2_TARGET_GENES									ZSCAN2_TARGET_GENES					RAG1_TARGET_GENES				
79955	PDZD7	PDZ domain containing 7 [Source:HGNC Symbol;Acc:HGNC:26257]		BARX2_TARGET_GENES													RYBP_TARGET_GENES		MYOCD_TARGET_GENES			
64326	COP1	COP1 E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:17440]		BARX2_TARGET_GENES																HOXA1_TARGET_GENES	ZNF711_TARGET_GENES	
2677	GGCX	gamma-glutamyl carboxylase [Source:HGNC Symbol;Acc:HGNC:4247]		BARX2_TARGET_GENES																HOXA1_TARGET_GENES		NCOA2_TARGET_GENES
8673	VAMP8	vesicle associated membrane protein 8 [Source:HGNC Symbol;Acc:HGNC:12647]		BARX2_TARGET_GENES																HOXA1_TARGET_GENES		
81855	SFXN3	sideroflexin 3 [Source:HGNC Symbol;Acc:HGNC:16087]		BARX2_TARGET_GENES																		
80344	DCAF11	DDB1 and CUL4 associated factor 11 [Source:HGNC Symbol;Acc:HGNC:20258]			BARHL1_TARGET_GENES	ASH1L_TARGET_GENES		AEBP2_TARGET_GENES				ZFP91_TARGET_GENES	ZSCAN2_TARGET_GENES			CEBPZ_TARGET_GENES	RYBP_TARGET_GENES					NCOA2_TARGET_GENES
55660	PRPF40A	pre-mRNA processing factor 40 homolog A [Source:HGNC Symbol;Acc:HGNC:16463]			BARHL1_TARGET_GENES	ASH1L_TARGET_GENES			NFE2L1_TARGET_GENES		SETD1A_TARGET_GENES					CEBPZ_TARGET_GENES				HOXA1_TARGET_GENES		
151188	ARL6IP6	ADP ribosylation factor like GTPase 6 interacting protein 6 [Source:HGNC Symbol;Acc:HGNC:24048]			BARHL1_TARGET_GENES	ASH1L_TARGET_GENES			NFE2L1_TARGET_GENES		SETD1A_TARGET_GENES					CEBPZ_TARGET_GENES				HOXA1_TARGET_GENES		
1717	DHCR7	7-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2860]			BARHL1_TARGET_GENES	ASH1L_TARGET_GENES										CEBPZ_TARGET_GENES						
641649	TMEM91	transmembrane protein 91 [Source:HGNC Symbol;Acc:HGNC:32393]			BARHL1_TARGET_GENES		ATF6_TARGET_GENES			IRF5_TARGET_GENES		ZFP91_TARGET_GENES			ZNF549_TARGET_GENES							
132	ADK	adenosine kinase [Source:HGNC Symbol;Acc:HGNC:257]			BARHL1_TARGET_GENES		ATF6_TARGET_GENES			IRF5_TARGET_GENES			ZSCAN2_TARGET_GENES		ZNF549_TARGET_GENES		RYBP_TARGET_GENES					NCOA2_TARGET_GENES
118426	BORCS5	BLOC-1 related complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:17950]			BARHL1_TARGET_GENES		ATF6_TARGET_GENES					ZFP91_TARGET_GENES		KLF7_TARGET_GENES	ZNF549_TARGET_GENES			RAG1_TARGET_GENES				
3337	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270]			BARHL1_TARGET_GENES		ATF6_TARGET_GENES					ZFP91_TARGET_GENES						RAG1_TARGET_GENES				
503693	LOH12CR2	loss of heterozygosity on chromosome 12, region 2 [Source:HGNC Symbol;Acc:HGNC:26524]			BARHL1_TARGET_GENES		ATF6_TARGET_GENES							KLF7_TARGET_GENES	ZNF549_TARGET_GENES			RAG1_TARGET_GENES				
113251	LARP4	La ribonucleoprotein 4 [Source:HGNC Symbol;Acc:HGNC:24320]			BARHL1_TARGET_GENES			AEBP2_TARGET_GENES	NFE2L1_TARGET_GENES		SETD1A_TARGET_GENES						RYBP_TARGET_GENES					
58506	SCAF1	SR-related CTD associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30403]			BARHL1_TARGET_GENES			AEBP2_TARGET_GENES			SETD1A_TARGET_GENES			KLF7_TARGET_GENES						HOXA1_TARGET_GENES	ZNF711_TARGET_GENES	
84364	ARFGAP2	ADP ribosylation factor GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:13504]			BARHL1_TARGET_GENES				NFE2L1_TARGET_GENES													
23165	NUP205	nucleoporin 205 [Source:HGNC Symbol;Acc:HGNC:18658]			BARHL1_TARGET_GENES					IRF5_TARGET_GENES	SETD1A_TARGET_GENES		ZSCAN2_TARGET_GENES									NCOA2_TARGET_GENES
10230	NBR2	neighbor of BRCA1 lncRNA 2 [Source:HGNC Symbol;Acc:HGNC:20691]			BARHL1_TARGET_GENES							ZFP91_TARGET_GENES										
284086	NEK8	NIMA related kinase 8 [Source:HGNC Symbol;Acc:HGNC:13387]			BARHL1_TARGET_GENES																	
116238	TLCD1	TLC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25177]			BARHL1_TARGET_GENES																	
103	ADAR	adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]			BARHL1_TARGET_GENES																	
7818	DAP3	death associated protein 3 [Source:HGNC Symbol;Acc:HGNC:2673]				ASH1L_TARGET_GENES		AEBP2_TARGET_GENES	NFE2L1_TARGET_GENES		SETD1A_TARGET_GENES							RAG1_TARGET_GENES		HOXA1_TARGET_GENES		
55249	YY1AP1	YY1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30935]				ASH1L_TARGET_GENES		AEBP2_TARGET_GENES	NFE2L1_TARGET_GENES		SETD1A_TARGET_GENES							RAG1_TARGET_GENES		HOXA1_TARGET_GENES		
79842	ZBTB3	zinc finger and BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:22918]				ASH1L_TARGET_GENES		AEBP2_TARGET_GENES			SETD1A_TARGET_GENES					CEBPZ_TARGET_GENES						
55037	PTCD3	pentatricopeptide repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:24717]				ASH1L_TARGET_GENES		AEBP2_TARGET_GENES											MYOCD_TARGET_GENES		ZNF711_TARGET_GENES	
25885	POLR1A	RNA polymerase I subunit A [Source:HGNC Symbol;Acc:HGNC:17264]				ASH1L_TARGET_GENES		AEBP2_TARGET_GENES											MYOCD_TARGET_GENES			
1161	ERCC8	ERCC excision repair 8, CSA ubiquitin ligase complex subunit [Source:HGNC Symbol;Acc:HGNC:3439]				ASH1L_TARGET_GENES			NFE2L1_TARGET_GENES											HOXA1_TARGET_GENES		
91942	NDUFAF2	NADH:ubiquinone oxidoreductase complex assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:28086]				ASH1L_TARGET_GENES			NFE2L1_TARGET_GENES													
11113	CIT	citron rho-interacting serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1985]				ASH1L_TARGET_GENES				IRF5_TARGET_GENES					ZNF549_TARGET_GENES	CEBPZ_TARGET_GENES						
11078	TRIOBP	TRIO and F-actin binding protein [Source:HGNC Symbol;Acc:HGNC:17009]				ASH1L_TARGET_GENES										CEBPZ_TARGET_GENES						
9639	ARHGEF10	Rho guanine nucleotide exchange factor 10 [Source:HGNC Symbol;Acc:HGNC:14103]				ASH1L_TARGET_GENES																
80863	PRRT1	proline rich transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:13943]					ATF6_TARGET_GENES	AEBP2_TARGET_GENES				ZFP91_TARGET_GENES										
